ID,Tx Amplitude at -6,Tx Amplitude at -5,Tx Amplitude at -4,Tx Amplitude at -3,Tx Amplitude at -2.5,Tx Amplitude at -2,Tx Amplitude at -1.5,Tx Amplitude at -1,Tx Amplitude at -0.5,Tx Amplitude at 0,Tx Amplitude at 1,Tx Amplitude at 2,Tx Amplitude at 3,Tx Amplitude at 4,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -3,Tx Phase at -2.5,Tx Phase at -2,Tx Phase at -1.5,Tx Phase at -1,Tx Phase at -0.5,Tx Phase at 0,Tx Phase at 1,Tx Phase at 2,Tx Phase at 3,Tx Phase at 4,Label,Trial
302,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
303,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
304,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
305,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
306,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
307,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
308,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
309,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
310,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
311,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
312,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
313,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
314,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
315,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,level,down,down,down,down,up,down,down,Hole,2
316,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,level,down,down,down,down,up,down,down,Hole,2
317,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,level,down,down,down,down,up,down,down,Hole,2
318,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,level,down,down,down,down,up,down,down,Hole,2
319,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,level,down,down,down,down,up,down,down,Hole,2
320,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
321,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
322,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
323,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
324,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
325,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
326,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
327,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
328,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
329,up,down,up,up,level,level,level,down,up,down,down,down,down,up,up,up,down,up,level,down,down,down,down,down,down,up,down,down,Hole,2
330,level,up,up,up,level,level,up,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
331,level,up,up,up,level,level,up,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
332,level,up,up,up,level,level,up,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
333,level,up,up,up,level,level,up,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
334,level,up,up,up,level,level,up,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
335,level,up,up,up,level,level,up,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
336,level,up,up,up,level,level,up,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
337,level,up,up,up,level,level,up,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
338,level,up,up,up,level,up,level,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
339,level,up,up,up,level,up,level,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
340,level,up,up,up,level,up,level,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
341,level,up,up,up,level,up,level,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
342,level,up,up,up,up,up,level,level,down,down,down,down,level,level,up,down,up,down,down,down,down,level,down,down,down,up,down,down,Hole,3
